ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,ORDERNO,OREDEREDQUANTITY,DELIVERYDATE,INVOICENO,DELIVEREDQUANTITY
ES1,C00237,IT0001433,15-JAN-2014 12.00.00.000000000 AM,219856,15,16-FEB-2014 12.00.00.000000000 AM,21300726,15
ES1,C00237,IT0001016,15-JAN-2014 12.00.00.000000000 AM,219857,750,11-FEB-2014 12.00.00.000000000 AM,21300626,750
ES1,C00237,IT0001024,15-JAN-2014 12.00.00.000000000 AM,219857,320,16-FEB-2014 12.00.00.000000000 AM,21300727,320
ES1,C00237,IT0001084,15-JAN-2014 12.00.00.000000000 AM,219857,250,11-FEB-2014 12.00.00.000000000 AM,21300626,250
ES1,C00280,IT0001159,03-FEB-2014 12.00.00.000000000 AM,254993,24,14-FEB-2014 12.00.00.000000000 AM,21300735,24
ES3,C00313,IT0001012,02-FEB-2014 12.00.00.000000000 AM,254996,250,03-FEB-2014 12.00.00.000000000 AM,21300518,250
ES3,C00313,IT0001471,02-FEB-2014 12.00.00.000000000 AM,254996,13,03-FEB-2014 12.00.00.000000000 AM,21300518,13
ES1,C00354,IT0001020,07-FEB-2014 12.00.00.000000000 AM,255036,800,09-FEB-2014 12.00.00.000000000 AM,21300624,640
ES1,C00354,IT0001020,07-FEB-2014 12.00.00.000000000 AM,255036,800,10-FEB-2014 12.00.00.000000000 AM,21300656,160
ES3,C00154,IT0001124,12-FEB-2014 12.00.00.000000000 AM,255056,2,13-FEB-2014 12.00.00.000000000 AM,21300694,2
ES1,C00102,IT0001012,16-FEB-2014 12.00.00.000000000 AM,255076,2000,19-FEB-2014 12.00.00.000000000 AM,21300809,2000
ES1,C00257,IT0001124,23-FEB-2014 12.00.00.000000000 AM,255119,24,26-FEB-2014 12.00.00.000000000 AM,21300936,24
ES1,C00140,IT0001033,24-FEB-2014 12.00.00.000000000 AM,255122,130,26-FEB-2014 12.00.00.000000000 AM,21300921,130
ES1,C00313,IT0001471,27-FEB-2014 12.00.00.000000000 AM,255145,25,27-FEB-2014 12.00.00.000000000 AM,21300975,25
ES1,C00284,IT0001084,26-FEB-2014 12.00.00.000000000 AM,219897,832,26-FEB-2014 12.00.00.000000000 AM,21300919,832
ES3,C00195,IT0001494,16-JAN-2014 12.00.00.000000000 AM,219845,15,19-JAN-2014 12.00.00.000000000 AM,21300248,15
ES1,C00252,IT0001084,09-JAN-2014 12.00.00.000000000 AM,219848,300,12-JAN-2014 12.00.00.000000000 AM,21300131,300
ES1,C00256,IT0001197,21-JAN-2014 12.00.00.000000000 AM,219865,100,06-FEB-2014 12.00.00.000000000 AM,21300557,100
ES1,C00152,IT0001471,28-JAN-2014 12.00.00.000000000 AM,219868,10,16-FEB-2014 12.00.00.000000000 AM,21300721,10
ES1,C00152,IT0001494,28-JAN-2014 12.00.00.000000000 AM,219868,20,16-FEB-2014 12.00.00.000000000 AM,21300721,20
ES3,C00315,IT0001151,20-JAN-2014 12.00.00.000000000 AM,254911,200,21-JAN-2014 12.00.00.000000000 AM,21300307,200
ES3,C00311,IT0001020,21-JAN-2014 12.00.00.000000000 AM,254928,160,26-JAN-2014 12.00.00.000000000 AM,21300368,160
ES3,C00113,IT0001162,28-JAN-2014 12.00.00.000000000 AM,254948,96,12-FEB-2014 12.00.00.000000000 AM,21300684,48
ES1,C00283,IT0001130,02-FEB-2014 12.00.00.000000000 AM,254988,8,13-FEB-2014 12.00.00.000000000 AM,21300689,8
ES1,C00257,IT0001415,07-FEB-2014 12.00.00.000000000 AM,255031,8,12-FEB-2014 12.00.00.000000000 AM,21300672,8
ES3,C00314,IT0001076,11-FEB-2014 12.00.00.000000000 AM,255051,500,14-FEB-2014 12.00.00.000000000 AM,21300736,250
ES3,C00314,IT0001076,11-FEB-2014 12.00.00.000000000 AM,255051,500,25-FEB-2014 12.00.00.000000000 AM,21300928,250
ES1,C00242,IT0001096,07-FEB-2014 12.00.00.000000000 AM,254782,5,09-FEB-2014 12.00.00.000000000 AM,21300593,5
ES3,C00238,IT0001012,06-JAN-2014 12.00.00.000000000 AM,254825,250,14-JAN-2014 12.00.00.000000000 AM,21300195,250
ES3,C00238,IT0001159,06-JAN-2014 12.00.00.000000000 AM,254825,40,20-JAN-2014 12.00.00.000000000 AM,21300291,40
ES3,C00301,IT0001415,09-JAN-2014 12.00.00.000000000 AM,254842,10,12-JAN-2014 12.00.00.000000000 AM,21300171,10
ES1,C00205,IT0001367,09-JAN-2014 12.00.00.000000000 AM,254845,6,14-JAN-2014 12.00.00.000000000 AM,21300209,6
ES1,C00315,IT0001381,19-JAN-2014 12.00.00.000000000 AM,254905,3,21-JAN-2014 12.00.00.000000000 AM,21300306,3
ES1,C00256,IT0001197,05-SEP-2013 12.00.00.000000000 AM,219685,400,02-JAN-2014 12.00.00.000000000 AM,21300001,61
ES1,C00252,IT0001096,06-JAN-2014 12.00.00.000000000 AM,219840,1280,08-JAN-2014 12.00.00.000000000 AM,21300077,1280
ES1,C00252,IT0001016,28-JAN-2014 12.00.00.000000000 AM,219866,500,30-JAN-2014 12.00.00.000000000 AM,21300434,500
ES1,C00308,IT0001195,11-FEB-2014 12.00.00.000000000 AM,219886,160,26-FEB-2014 12.00.00.000000000 AM,21300914,160
ES1,C00223,IT0001494,23-JAN-2014 12.00.00.000000000 AM,220733,100,27-JAN-2014 12.00.00.000000000 AM,21300390,100
ES3,C00127,IT0001020,07-OCT-2013 12.00.00.000000000 AM,254373,1120,23-JAN-2014 12.00.00.000000000 AM,21300356,320
ES3,C00340,IT0001088,16-DEC-2013 12.00.00.000000000 AM,254711,320,10-FEB-2014 12.00.00.000000000 AM,21300613,160
ES3,C00340,IT0001133,16-DEC-2013 12.00.00.000000000 AM,254711,8,05-FEB-2014 12.00.00.000000000 AM,21300532,8
ES3,C00316,IT0001101,19-DEC-2013 12.00.00.000000000 AM,254743,180,09-JAN-2014 12.00.00.000000000 AM,21300126,180
ES3,C00316,IT0001020,19-DEC-2013 12.00.00.000000000 AM,254743,160,09-JAN-2014 12.00.00.000000000 AM,21300126,160
ES1,C00140,IT0001381,23-DEC-2013 12.00.00.000000000 AM,254757,5,08-JAN-2014 12.00.00.000000000 AM,21300094,5
ES1,C00127,IT0001159,25-DEC-2013 12.00.00.000000000 AM,254772,96,05-JAN-2014 12.00.00.000000000 AM,21300049,96
ES1,C00351,IT0001275,29-DEC-2013 12.00.00.000000000 AM,254784,83,14-JAN-2014 12.00.00.000000000 AM,21300203,83
ES1,C00246,IT0001020,02-JAN-2014 12.00.00.000000000 AM,254789,160,02-JAN-2014 12.00.00.000000000 AM,21300020,160
ES1,C00246,IT0001033,31-DEC-2013 12.00.00.000000000 AM,254791,130,05-JAN-2014 12.00.00.000000000 AM,21300032,130
ES3,C00281,IT0001012,31-DEC-2013 12.00.00.000000000 AM,254792,1250,07-JAN-2014 12.00.00.000000000 AM,21300097,1250
ES1,C00246,IT0001113,03-JAN-2014 12.00.00.000000000 AM,254801,72,05-JAN-2014 12.00.00.000000000 AM,21300062,72
ES3,C00309,IT0001012,03-JAN-2014 12.00.00.000000000 AM,254806,500,03-JAN-2014 12.00.00.000000000 AM,21300034,500
ES1,C00102,IT0001076,05-JAN-2014 12.00.00.000000000 AM,254811,250,08-JAN-2014 12.00.00.000000000 AM,21300091,250
ES1,C00102,IT0001162,05-JAN-2014 12.00.00.000000000 AM,254811,24,11-FEB-2014 12.00.00.000000000 AM,21300630,24
ES3,C00335,IT0001133,06-JAN-2014 12.00.00.000000000 AM,254823,64,07-JAN-2014 12.00.00.000000000 AM,21300103,24
ES3,C00335,IT0001133,06-JAN-2014 12.00.00.000000000 AM,254823,64,16-FEB-2014 12.00.00.000000000 AM,21300748,40
ES3,C00238,IT0001020,06-JAN-2014 12.00.00.000000000 AM,254829,1440,29-JAN-2014 12.00.00.000000000 AM,21300444,160
ES3,C00238,IT0001020,06-JAN-2014 12.00.00.000000000 AM,254829,1440,05-FEB-2014 12.00.00.000000000 AM,21300564,160
ES3,C00238,IT0001020,06-JAN-2014 12.00.00.000000000 AM,254829,1440,10-FEB-2014 12.00.00.000000000 AM,21300633,160
ES3,C00238,IT0001020,06-JAN-2014 12.00.00.000000000 AM,254829,1440,26-FEB-2014 12.00.00.000000000 AM,21300950,480
ES3,C00238,IT0001020,06-JAN-2014 12.00.00.000000000 AM,254829,1440,27-JAN-2014 12.00.00.000000000 AM,21300400,160
ES1,C00102,IT0001076,08-JAN-2014 12.00.00.000000000 AM,254837,250,14-JAN-2014 12.00.00.000000000 AM,21300183,250
ES1,C00102,IT0001012,08-JAN-2014 12.00.00.000000000 AM,254837,750,10-JAN-2014 12.00.00.000000000 AM,21300122,500
ES1,C00102,IT0001012,08-JAN-2014 12.00.00.000000000 AM,254837,750,14-JAN-2014 12.00.00.000000000 AM,21300183,250
ES1,C00283,IT0001076,09-JAN-2014 12.00.00.000000000 AM,254844,500,09-JAN-2014 12.00.00.000000000 AM,21300125,500
ES1,C00246,IT0001151,10-JAN-2014 12.00.00.000000000 AM,254849,32,14-JAN-2014 12.00.00.000000000 AM,21300211,32
ES3,C00196,IT0001020,10-JAN-2014 12.00.00.000000000 AM,254852,640,12-JAN-2014 12.00.00.000000000 AM,21300170,480
ES3,C00196,IT0001020,10-JAN-2014 12.00.00.000000000 AM,254852,640,29-JAN-2014 12.00.00.000000000 AM,21300442,160
ES1,C00257,IT0001076,13-JAN-2014 12.00.00.000000000 AM,254863,500,15-JAN-2014 12.00.00.000000000 AM,21300212,500
ES1,C00257,IT0001151,13-JAN-2014 12.00.00.000000000 AM,254863,40,15-JAN-2014 12.00.00.000000000 AM,21300212,40
ES3,C00265,IT0001202,13-JAN-2014 12.00.00.000000000 AM,254864,400,28-JAN-2014 12.00.00.000000000 AM,21300406,400
ES3,C00140,IT0001076,14-JAN-2014 12.00.00.000000000 AM,254875,500,16-JAN-2014 12.00.00.000000000 AM,21300240,500
ES3,C00316,IT0001088,12-FEB-2014 12.00.00.000000000 AM,255060,320,18-FEB-2014 12.00.00.000000000 AM,21300784,160
ES3,C00316,IT0001088,12-FEB-2014 12.00.00.000000000 AM,255060,320,18-FEB-2014 12.00.00.000000000 AM,21300796,160
ES1,C00313,IT0001481,16-FEB-2014 12.00.00.000000000 AM,255072,125,18-FEB-2014 12.00.00.000000000 AM,21300782,125
ES1,C00315,IT0001494,17-FEB-2014 12.00.00.000000000 AM,255080,50,20-FEB-2014 12.00.00.000000000 AM,21300818,50
