Month-Year,Sold
Oct-13,250
Nov-13,1750
Dec-13,2750
Jan-14,105000
Feb-14,54500
Mar-14,54525
Apr-14,62500
May-14,43750
Jun-14,54500
Jul-14,64750
Aug-14,43500
Sep-14,56250
Oct-14,57750
Nov-14,71500
Dec-14,51250
Jan-15,71000
Feb-15,76750
Mar-15,55850
Apr-15,75285
May-15,73000
Jun-15,64750
Jul-15,68750
Aug-15,60500
Sep-15,88250
Oct-15,53000
Nov-15,114000
Dec-15,65250
Jan-16,76250
Feb-16,70250
Mar-16,96500
Apr-16,73500
May-16,80000
Jun-16,85900
Jul-16,45850
Aug-16,90500
Sep-16,61500
Oct-16,62750
Nov-16,51250
Dec-16,92751
Jan-17,90575
Feb-17,122850
Mar-17,74025
Apr-17,70750
May-17,92060
Jun-17,61750
Jul-17,80000
Aug-17,69750
Sep-17,75260
Oct-17,79500
Nov-17,84350
Dec-17,41500
