,ORDERDATE,DELIVEREDQUANTITY
73,29-10-2013,250
78,08-11-2013,250
79,08-11-2013,500
80,08-11-2013,250
81,08-11-2013,500
82,08-11-2013,250
197,17-12-2013,250
200,18-12-2013,250
282,31-12-2013,1250
284,31-12-2013,500
292,31-12-2013,500
296,02-01-2014,500
298,02-01-2014,250
307,02-01-2014,750
315,03-01-2014,500
329,03-01-2014,250
343,03-01-2014,2000
344,03-01-2014,1250
345,03-01-2014,750
355,05-01-2014,750
356,05-01-2014,1000
368,05-01-2014,500
369,05-01-2014,500
371,05-01-2014,750
372,05-01-2014,750
380,05-01-2014,2000
381,05-01-2014,750
383,06-01-2014,250
400,06-01-2014,500
401,06-01-2014,500
419,06-01-2014,1000
437,06-01-2014,1750
438,06-01-2014,250
439,06-01-2014,250
451,06-01-2014,1000
452,06-01-2014,250
453,06-01-2014,250
454,06-01-2014,250
455,06-01-2014,250
456,06-01-2014,500
457,06-01-2014,250
479,06-01-2014,250
480,06-01-2014,1000
481,06-01-2014,500
482,06-01-2014,250
483,06-01-2014,500
495,08-01-2014,500
496,08-01-2014,250
504,08-01-2014,250
505,08-01-2014,250
515,08-01-2014,500
560,09-01-2014,500
561,09-01-2014,500
611,10-01-2014,1000
612,10-01-2014,500
617,10-01-2014,1500
618,10-01-2014,500
639,12-01-2014,250
645,12-01-2014,500
648,12-01-2014,1000
649,12-01-2014,750
650,12-01-2014,250
681,14-01-2014,750
703,15-01-2014,750
708,15-01-2014,750
709,15-01-2014,250
726,15-01-2014,250
727,15-01-2014,500
731,15-01-2014,500
735,15-01-2014,750
736,15-01-2014,250
781,16-01-2014,250
782,16-01-2014,500
783,16-01-2014,250
802,17-01-2014,1000
809,17-01-2014,250
810,17-01-2014,250
812,17-01-2014,1000
821,17-01-2014,1000
822,17-01-2014,500
838,19-01-2014,250
843,19-01-2014,500
853,19-01-2014,500
854,19-01-2014,500
855,19-01-2014,1000
866,19-01-2014,1500
870,19-01-2014,1000
873,20-01-2014,500
888,20-01-2014,500
893,20-01-2014,750
903,20-01-2014,500
904,20-01-2014,250
905,20-01-2014,500
906,20-01-2014,500
907,20-01-2014,250
912,20-01-2014,500
923,21-01-2014,250
926,21-01-2014,500
932,21-01-2014,250
933,21-01-2014,750
934,21-01-2014,250
961,22-01-2014,500
974,22-01-2014,250
975,22-01-2014,250
986,22-01-2014,750
990,22-01-2014,1000
991,22-01-2014,250
1005,23-01-2014,1500
1006,23-01-2014,250
1007,23-01-2014,250
1008,23-01-2014,250
1009,23-01-2014,250
1066,26-01-2014,750
1070,26-01-2014,500
1075,28-01-2014,500
1076,28-01-2014,1000
1098,28-01-2014,250
1103,28-01-2014,1000
1105,28-01-2014,500
1106,28-01-2014,500
1107,28-01-2014,250
1108,28-01-2014,1250
1124,28-01-2014,750
1145,29-01-2014,500
1146,29-01-2014,250
1147,29-01-2014,250
1151,29-01-2014,1500
1152,29-01-2014,500
1153,29-01-2014,1250
1154,29-01-2014,250
1155,29-01-2014,250
1156,29-01-2014,250
1157,29-01-2014,250
1158,29-01-2014,250
1161,29-01-2014,500
1169,29-01-2014,250
1170,29-01-2014,1000
1171,29-01-2014,250
1172,29-01-2014,500
1173,29-01-2014,1000
1174,29-01-2014,500
1175,29-01-2014,500
1178,29-01-2014,1000
1201,30-01-2014,1250
1202,30-01-2014,750
1212,30-01-2014,1000
1226,30-01-2014,250
1227,30-01-2014,1000
1228,30-01-2014,750
1229,30-01-2014,2000
1232,30-01-2014,2000
1239,30-01-2014,250
1242,30-01-2014,1000
1243,30-01-2014,500
1269,31-01-2014,1500
1270,31-01-2014,1250
1271,31-01-2014,750
1272,31-01-2014,1000
1273,31-01-2014,500
1280,31-01-2014,1000
1281,31-01-2014,500
1282,31-01-2014,1500
1283,31-01-2014,500
1290,31-01-2014,250
1291,31-01-2014,2000
1292,31-01-2014,2000
1293,31-01-2014,750
1296,31-01-2014,750
1297,31-01-2014,250
1311,31-01-2014,500
1312,31-01-2014,500
1313,31-01-2014,250
1314,31-01-2014,250
1315,31-01-2014,250
1318,31-01-2014,500
1319,31-01-2014,500
1329,02-02-2014,250
1332,02-02-2014,1000
1333,02-02-2014,500
1334,02-02-2014,500
1338,02-02-2014,250
1339,02-02-2014,1500
1340,02-02-2014,250
1341,02-02-2014,2000
1344,02-02-2014,250
1345,02-02-2014,500
1346,02-02-2014,250
1347,02-02-2014,250
1348,02-02-2014,250
1349,02-02-2014,250
1350,02-02-2014,500
1351,02-02-2014,250
1357,02-02-2014,2000
1362,02-02-2014,500
1373,02-02-2014,250
1374,02-02-2014,250
1380,02-02-2014,1000
1381,02-02-2014,2000
1382,02-02-2014,250
1419,02-02-2014,1000
1423,02-02-2014,500
1424,02-02-2014,500
1458,04-02-2014,750
1459,04-02-2014,500
1463,04-02-2014,250
1466,04-02-2014,500
1467,04-02-2014,250
1468,04-02-2014,500
1469,04-02-2014,250
1518,05-02-2014,750
1526,05-02-2014,750
1527,05-02-2014,750
1528,05-02-2014,500
1529,05-02-2014,250
1565,06-02-2014,2000
1570,06-02-2014,750
1584,06-02-2014,500
1593,07-02-2014,1000
1595,07-02-2014,250
1613,09-02-2014,2000
1614,09-02-2014,250
1615,09-02-2014,250
1624,09-02-2014,500
1625,09-02-2014,250
1641,11-02-2014,500
1642,11-02-2014,500
1643,11-02-2014,500
1644,11-02-2014,500
1645,11-02-2014,2000
1680,12-02-2014,2000
1681,12-02-2014,500
1713,16-02-2014,2000
1729,16-02-2014,750
1730,16-02-2014,1000
1784,18-02-2014,500
1785,18-02-2014,500
1794,18-02-2014,1000
1795,18-02-2014,250
1796,18-02-2014,500
1797,18-02-2014,250
1798,18-02-2014,500
1799,18-02-2014,250
1817,19-02-2014,500
1825,20-02-2014,250
1831,20-02-2014,1500
1839,20-02-2014,1000
1879,21-02-2014,500
1882,21-02-2014,1000
1888,21-02-2014,250
1916,23-02-2014,250
1956,24-02-2014,1000
1990,25-02-2014,250
1993,25-02-2014,500
2011,26-02-2014,250
2031,26-02-2014,1000
2032,26-02-2014,1000
2055,27-02-2014,250
2056,27-02-2014,250
2091,02-03-2014,250
2092,02-03-2014,250
2106,03-03-2014,500
2107,03-03-2014,500
2108,03-03-2014,1250
2109,03-03-2014,250
2117,03-03-2014,500
2118,03-03-2014,1000
2119,03-03-2014,500
2123,03-03-2014,250
2129,04-03-2014,500
2130,04-03-2014,250
2131,04-03-2014,250
2134,04-03-2014,500
2147,04-03-2014,500
2150,04-03-2014,250
2200,05-03-2014,1250
2201,05-03-2014,1000
2202,05-03-2014,250
2218,05-03-2014,250
2219,05-03-2014,250
2264,05-03-2014,2000
2265,05-03-2014,250
2266,05-03-2014,250
2313,07-03-2014,250
2314,07-03-2014,250
2315,07-03-2014,250
2323,07-03-2014,250
2324,07-03-2014,750
2325,07-03-2014,250
2357,10-03-2014,500
2365,10-03-2014,250
2366,10-03-2014,250
2373,10-03-2014,1000
2374,10-03-2014,1000
2375,10-03-2014,750
2377,10-03-2014,500
2378,10-03-2014,250
2389,10-03-2014,500
2401,11-03-2014,750
2419,12-03-2014,250
2435,13-03-2014,750
2441,13-03-2014,750
2467,16-03-2014,250
2468,16-03-2014,250
2469,16-03-2014,250
2470,16-03-2014,500
2471,16-03-2014,500
2500,16-03-2014,250
2501,16-03-2014,250
2502,16-03-2014,250
2503,16-03-2014,250
2504,16-03-2014,250
2505,16-03-2014,500
2506,16-03-2014,250
2554,18-03-2014,250
2600,18-03-2014,500
2601,18-03-2014,250
2602,18-03-2014,500
2603,18-03-2014,500
2604,18-03-2014,250
2625,18-03-2014,750
2626,18-03-2014,250
2639,18-03-2014,1000
2641,18-03-2014,250
2642,18-03-2014,250
2693,19-03-2014,750
2698,19-03-2014,1000
2699,19-03-2014,250
2700,19-03-2014,250
2748,21-03-2014,500
2749,21-03-2014,500
2750,21-03-2014,750
2751,21-03-2014,250
2760,21-03-2014,250
2765,21-03-2014,500
2777,23-03-2014,750
2779,23-03-2014,750
2780,23-03-2014,1000
2781,23-03-2014,500
2782,23-03-2014,500
2783,23-03-2014,500
2784,23-03-2014,750
2785,23-03-2014,500
2809,23-03-2014,250
2844,24-03-2014,1250
2848,24-03-2014,500
2856,24-03-2014,750
2857,24-03-2014,500
2858,24-03-2014,500
2859,24-03-2014,500
2860,24-03-2014,250
2884,25-03-2014,500
2885,25-03-2014,250
2907,26-03-2014,500
2949,27-03-2014,250
2954,27-03-2014,500
2955,27-03-2014,250
2958,27-03-2014,1750
2977,28-03-2014,25
2991,28-03-2014,500
2994,28-03-2014,250
2997,28-03-2014,750
2998,28-03-2014,250
2999,28-03-2014,750
3000,28-03-2014,250
3006,28-03-2014,500
3017,30-03-2014,500
3018,30-03-2014,1000
3057,01-04-2014,500
3063,01-04-2014,250
3096,02-04-2014,1250
3099,02-04-2014,750
3108,03-04-2014,1000
3116,03-04-2014,250
3121,03-04-2014,1500
3152,04-04-2014,750
3153,04-04-2014,750
3154,04-04-2014,500
3155,04-04-2014,250
3156,04-04-2014,250
3158,04-04-2014,500
3159,04-04-2014,250
3160,04-04-2014,500
3169,04-04-2014,1000
3170,04-04-2014,500
3171,04-04-2014,500
3172,04-04-2014,500
3205,06-04-2014,250
3208,06-04-2014,500
3209,06-04-2014,500
3210,06-04-2014,1500
3228,06-04-2014,1250
3247,07-04-2014,500
3277,07-04-2014,500
3278,07-04-2014,250
3279,07-04-2014,750
3280,07-04-2014,500
3293,08-04-2014,250
3307,09-04-2014,500
3308,09-04-2014,250
3309,09-04-2014,250
3310,09-04-2014,500
3311,09-04-2014,1500
3326,10-04-2014,750
3336,10-04-2014,500
3337,10-04-2014,250
3338,10-04-2014,250
3404,13-04-2014,1250
3439,14-04-2014,1000
3450,14-04-2014,500
3451,14-04-2014,1000
3452,14-04-2014,250
3459,14-04-2014,250
3460,14-04-2014,250
3473,14-04-2014,500
3474,14-04-2014,250
3475,14-04-2014,500
3476,14-04-2014,250
3521,17-04-2014,1500
3525,17-04-2014,750
3526,17-04-2014,250
3529,17-04-2014,750
3530,17-04-2014,500
3531,17-04-2014,250
3532,17-04-2014,250
3542,17-04-2014,2000
3584,18-04-2014,1000
3585,18-04-2014,500
3586,18-04-2014,250
3591,20-04-2014,1000
3592,20-04-2014,500
3598,20-04-2014,1250
3604,20-04-2014,1000
3692,22-04-2014,250
3701,22-04-2014,250
3702,22-04-2014,1250
3732,23-04-2014,1500
3743,23-04-2014,250
3746,23-04-2014,750
3747,23-04-2014,1000
3748,23-04-2014,250
3753,23-04-2014,1500
3754,23-04-2014,1000
3781,25-04-2014,500
3782,25-04-2014,750
3783,25-04-2014,500
3791,25-04-2014,500
3792,25-04-2014,500
3793,25-04-2014,250
3803,25-04-2014,250
3821,27-04-2014,500
3822,27-04-2014,250
3823,27-04-2014,250
3836,27-04-2014,250
3837,27-04-2014,750
3838,27-04-2014,1000
3839,27-04-2014,750
3846,27-04-2014,250
3847,27-04-2014,250
3848,27-04-2014,750
3849,27-04-2014,500
3850,27-04-2014,500
3851,27-04-2014,250
3852,27-04-2014,750
3853,27-04-2014,250
3854,27-04-2014,750
3855,27-04-2014,500
3878,28-04-2014,250
3879,28-04-2014,500
3904,29-04-2014,500
3905,29-04-2014,500
3938,01-05-2014,2000
3946,01-05-2014,500
3947,01-05-2014,750
3948,01-05-2014,750
3962,01-05-2014,250
3963,01-05-2014,250
3964,01-05-2014,250
3973,01-05-2014,1000
3985,01-05-2014,2000
3986,01-05-2014,500
4035,04-05-2014,250
4045,04-05-2014,1250
4071,04-05-2014,250
4075,04-05-2014,500
4076,04-05-2014,250
4098,04-05-2014,500
4103,04-05-2014,250
4119,05-05-2014,1000
4128,05-05-2014,250
4162,07-05-2014,250
4163,07-05-2014,1000
4164,07-05-2014,250
4167,07-05-2014,500
4168,07-05-2014,500
4195,09-05-2014,250
4196,09-05-2014,750
4197,09-05-2014,750
4198,09-05-2014,1250
4270,13-05-2014,250
4271,13-05-2014,500
4272,13-05-2014,500
4273,13-05-2014,750
4274,13-05-2014,750
4338,14-05-2014,750
4395,19-05-2014,250
4406,19-05-2014,1000
4452,22-05-2014,250
4461,23-05-2014,1250
4462,23-05-2014,250
4485,23-05-2014,750
4488,23-05-2014,1500
4513,23-05-2014,500
4514,23-05-2014,500
4515,23-05-2014,250
4516,23-05-2014,250
4530,23-05-2014,1000
4531,23-05-2014,1250
4532,23-05-2014,250
4555,25-05-2014,1000
4556,25-05-2014,500
4563,25-05-2014,250
4564,25-05-2014,500
4574,26-05-2014,1000
4577,26-05-2014,1000
4580,26-05-2014,500
4581,26-05-2014,1000
4607,26-05-2014,500
4639,27-05-2014,500
4640,27-05-2014,250
4660,28-05-2014,750
4661,28-05-2014,250
4677,28-05-2014,500
4678,28-05-2014,250
4721,28-05-2014,250
4726,29-05-2014,1500
4733,29-05-2014,250
4743,30-05-2014,1000
4744,30-05-2014,1000
4751,01-06-2014,1000
4764,02-06-2014,1000
4765,02-06-2014,1000
4767,02-06-2014,500
4769,02-06-2014,500
4780,02-06-2014,500
4781,02-06-2014,500
4782,02-06-2014,1750
4783,02-06-2014,250
4791,02-06-2014,250
4823,03-06-2014,1000
4824,03-06-2014,750
4825,03-06-2014,250
4826,03-06-2014,500
4834,03-06-2014,1000
4835,03-06-2014,750
4836,03-06-2014,750
4842,03-06-2014,1000
4843,03-06-2014,250
4855,04-06-2014,250
4862,04-06-2014,750
4875,04-06-2014,750
4876,04-06-2014,500
4889,04-06-2014,250
5039,09-06-2014,250
5041,09-06-2014,500
5042,09-06-2014,250
5043,09-06-2014,500
5046,09-06-2014,750
5047,09-06-2014,1000
5048,09-06-2014,250
5065,10-06-2014,750
5066,10-06-2014,750
5067,10-06-2014,500
5094,11-06-2014,500
5113,12-06-2014,750
5114,12-06-2014,1250
5115,12-06-2014,250
5116,12-06-2014,250
5143,13-06-2014,500
5144,13-06-2014,500
5207,16-06-2014,1250
5208,16-06-2014,1000
5209,16-06-2014,250
5217,16-06-2014,500
5218,16-06-2014,750
5227,16-06-2014,1500
5228,16-06-2014,1000
5232,16-06-2014,1250
5259,18-06-2014,500
5260,18-06-2014,500
5272,19-06-2014,750
5284,22-06-2014,250
5323,23-06-2014,500
5327,23-06-2014,250
5333,23-06-2014,500
5358,24-06-2014,500
5359,24-06-2014,500
5363,24-06-2014,250
5375,25-06-2014,500
5403,26-06-2014,250
5412,26-06-2014,1000
5419,27-06-2014,250
5420,27-06-2014,750
5421,27-06-2014,250
5422,27-06-2014,750
5423,27-06-2014,500
5424,27-06-2014,500
5425,27-06-2014,500
5426,27-06-2014,250
5427,27-06-2014,250
5436,27-06-2014,250
5437,27-06-2014,250
5438,27-06-2014,500
5439,27-06-2014,500
5456,29-06-2014,1750
5457,29-06-2014,500
5471,29-06-2014,1000
5472,29-06-2014,1000
5504,29-06-2014,1000
5505,29-06-2014,250
5506,29-06-2014,750
5517,29-06-2014,250
5518,29-06-2014,1250
5521,29-06-2014,750
5522,29-06-2014,250
5525,29-06-2014,500
5529,29-06-2014,500
5539,01-07-2014,1250
5540,01-07-2014,250
5545,01-07-2014,250
5546,01-07-2014,2000
5547,01-07-2014,250
5565,01-07-2014,2000
5568,01-07-2014,500
5570,02-07-2014,250
5571,02-07-2014,250
5572,02-07-2014,250
5575,02-07-2014,250
5592,02-07-2014,250
5626,02-07-2014,250
